Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
1;;taylormade_72;11.11.17 18:56:12;0;Omg ??????????;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17895448747096879
2;;carolinagpedra;11.11.17 19:49:30;0;@alexandrasgomes;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17907188869006003
3;;tay_war;11.11.17 20:14:09;0;@trentonrice14;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17895392335099657
4;;tmohr0;11.11.17 20:20:26;0;@gksamuelthomas ??????;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17848391920214704
5;;alex08v;11.11.17 20:39:05;0;Si va @luisitazerpa_97;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17880203188164691
6;;michelle_rodriguez262;11.11.17 22:00:52;0;Esse eu vou na estreia, no cinema ??;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17848009801221521
7;;ellieamiralai;11.11.17 23:00:09;0;@coltonmoretti;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17880413623166675
8;;isabellahansennn;11.11.17 23:14:37;0;@melaniebmjensen @catha2000;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17906684437009739
9;;jzwain;12.11.17 01:14:40;0;@marylisa89;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17898482176073676
10;;t_syafpa;12.11.17 01:26:05;0;Za @izza_r.hasanah;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17907890503011767
11;;deadvampira666;12.11.17 01:29:42;0;@phohhk;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17878396564172179
12;;katharina_x_theresa;12.11.17 01:52:04;1;@feelinski ich auch <3;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17849661109205964
13;;crisdeasis19;12.11.17 02:50:02;0;I must watch this!;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17880907477181389
14;;pm.hernan;12.11.17 03:13:25;1;@heidy_silva3;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17883820084133474
15;;heidy_silva3;12.11.17 03:14:15;0;@pm.hernan  In Love;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17881324684181593
16;;keclaxon;12.11.17 03:37:10;1;@sheck2026;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17881721662157844
17;;izza_r.hasanah;12.11.17 04:05:10;0;@t_syafpa OMG;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17902535152071048
18;;v_a_l_l_l;12.11.17 05:34:29;0;I havent seen the first 2 take me to see this @val_n_justy;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17880112723163606
19;;millyy_f;12.11.17 08:44:27;0;@ayeshamug;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17894396092112115
20;;joanwierz;12.11.17 11:15:18;0;@staihuttu ??;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17878587925170028
21;;negar.ghafourii;13.11.17 19:26:50;0;@_arshamsafari;https://www.instagram.com/p/BbKOFmfg6l3/?comment_id=17907837268032290
