Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
1;;gizzmeralda;22.12.17 01:46:52;0;BUT IS DONNA DEAD?!?;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17903096953108460
2;;gizzmeralda;22.12.17 01:47:46;0;Already my my calendar cleared just for July 20;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17888691151184745
3;;tiffcal67;22.12.17 01:55:40;0;@sweet___serendipity;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17913459856019481
4;;gujes.clues;22.12.17 01:58:51;0;@gabi_abramowitzzz @kikibruzziii AAAAHHH;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17915521798026057
5;;tiffany_binder;22.12.17 02:03:25;1;I miss Meryl Streep!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17874542407196388
6;;kaylerbiancaboyd;22.12.17 02:03:30;0;@baby_rainbow1407 gotta watch this;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17915638945040820
7;;sharrona;22.12.17 02:04:27;0;??????so exciting!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17854287115220298
8;;jasparrotta;22.12.17 02:18:20;0;@parrmikayla amazing!!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17901242725105238
9;;feerlara2;22.12.17 02:19:32;0;@naat_lara  va a salir otra;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17899359946126367
10;;bu_0489;22.12.17 02:35:51;0;@r_francosilva ????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17912984998037194
11;;holly.ayress;22.12.17 02:38:48;0;Eeeeeeeeppppppp @bridiemaeboland;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17908922086071774
12;;kelsierichins;22.12.17 02:38:59;1;Did Donna die? :( in the full trailer everyone talks about her like she’s dead.;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914522210015668
13;;ksmurph;22.12.17 02:51:49;0;@jr_clementi;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17885796436163831
14;;pastelheart1997;22.12.17 02:52:41;0;?????? so exciting! Put this on your calendar! @summerj1313;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17900004286120549
15;;summerj1313;22.12.17 02:53:34;1;I'm sooo pumped for this movie! @pastelheart1997;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17905046143129483
16;;leticiafgv;22.12.17 02:55:38;0;@juliafgv;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17874207208197953
17;;capymara;22.12.17 02:56:30;1;@baudelairs !!!!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17857738984200753
18;;steffi_bur_;22.12.17 06:33:20;0;Wir schauen uns den fix an @conni_minassian;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17910002770065646
19;;maura_sanjuan;22.12.17 06:54:42;1;Dios mío ???????? @lumadi2;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17888160811151622
20;;sarammusson;22.12.17 07:09:57;0;@spmusson;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887675003147681
21;;holly.maclellan;22.12.17 07:42:30;0;SO EXCITED;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914405336050551
22;;majakjorsvik;22.12.17 07:55:57;0;@elsakjorsvik the fuck;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887603747158026
23;;xx_lexy21_xx;22.12.17 08:02:24;0;????????????????????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887627519151625
24;;xx_lexy21_xx;22.12.17 08:02:30;0;Buzzinggg ??????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17913945052006000
25;;elsakjorsvik;22.12.17 08:23:40;0;@majakjorsvik what tha fricc den ska vi ju se isf;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17888402998147925
26;;thulsiprabakaran;22.12.17 08:40:36;0;@diditesta yessssss of course ??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17899473112126133
27;;noemidd;22.12.17 08:54:11;0;@stampalo ????????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17901310777097947
28;;xje_senna;22.12.17 08:55:49;0;@marlies.mengham klopt ??????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17854385491223296
29;;bronaghoneilll;22.12.17 08:57:11;0;AHGDHUCNWHDHHSHSBSJCHDBSHB @sallyosheaxx @sarahhchambers;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17900868520114569
30;;hannah_agritzer;22.12.17 09:44:00;0;@sophiewoerther @lauravurbic;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17913749893063338
31;;karoline.wurster;22.12.17 09:57:50;0;@ena.nele @_maitee__ ein 2. Teil?!:o??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17901341152118638
32;;stampalo;22.12.17 10:15:22;0;@noemidd When When When!! Yo quierooooo yaaaaa;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17888456866151069
33;;aniekvandeven_;22.12.17 10:17:24;0;@eviecamp deze film lijkt me leuk ??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17854359490217239
34;;alexjorja;22.12.17 10:17:41;0;@veramascaro neither can I!!!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17915006599062997
35;;esuc.priv;22.12.17 10:40:23;0;@v.einsveinsveins a yr anniversary idea ahahahah;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914172545023403
36;;hxnnah_holly;22.12.17 10:43:50;1;@jadee.px ANOTHER ONE;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17913889789032790
37;;jadee.px;22.12.17 10:47:46;0;@hannahholly_x OHMYGOD;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17890135738132988
38;;_mahrae;22.12.17 10:49:02;0;OMG SO PUMPED!! @oliviamudaliar_;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17907964792069754
39;;beitrisclydesdale;22.12.17 10:50:33;0;AHHHH OMG @isobelclydesdale;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887430587149325
40;;brittvehof;22.12.17 10:51:53;0;@tessacozijnsen teessaaaaaaaaa heb je de trailer nou gezien??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914522714035646
41;;oliviamudaliar;22.12.17 10:52:05;0;@mahrae_302 omggggg I’m so excited;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17897206558086622
42;;_mahrae;22.12.17 10:52:37;0;@oliviamudaliar_ ikr it looks soooo good;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887240129178003
43;;splitseatours;22.12.17 10:53:38;1;Movie was shot on our island, used one of our boats and used our summer home for cast members to sleep in. #visitsplit #croatiafulloflife;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17857330300207845
44;;gloria_canocchi;22.12.17 11:01:47;0;@stellacanocchi ????????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887115407157681
45;;brins_13;22.12.17 11:08:16;0;FiinnnaAAALLLLY?????????????????????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17890125820139130
46;;tais31copley;22.12.17 11:12:06;0;@zoemd_x I'm sorry i still can't stop watching it;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17913938893033807
47;;paularizkalla;22.12.17 11:19:58;0;@elenalaura.f omgggg;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17886129253166496
48;;babyalienishere;22.12.17 11:23:45;0;@energipotensial please please gasabar wkwkw;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887896481179949
49;;evabodex;22.12.17 11:29:58;1;@irisgroenewegen GAAN WE HEEN!!!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17902085617105673
50;;zoemd_x;22.12.17 11:37:11;0;@taisielcopley I’m wayyyyyyyyyyyyyyyyyyyyyyyyyy to excited ????????????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17883477043183333
51;;tais31copley;22.12.17 11:38:10;0;@zoemd_x same!!????!! Can't wait 7 months man!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17885858425161428
52;;shamzatalib;22.12.17 11:42:50;1;@klli_98 @kiran_rajbans I can’t waitttt is so gasssedddddd;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887027159178052
53;;_maariac;22.12.17 11:54:33;0;@ab.clau que vuelveeee ??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17905691746078637
54;;mathildehoedemaker;22.12.17 12:08:18;0;@xnikkischellekens;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914066336013416
55;;enith57;22.12.17 12:14:35;2;It's not the same without Meryl! It's like of you were playing with our feeling, almost everybody wanted to know more about Dona and Sam's love story after MM1! No es lo mismo sin Meryl Streep! Es como si la producción hubiera jugado con nuestros sentimientos. El que Meryl aparezca solo 5 o 10 minutos en la película es horrible! Ni ganas de verla;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17897021956087210
56;;enith57;22.12.17 12:15:27;2;@miriana.tupara Same here! I dont know know what they were thinking! They should tell us before! I was wating years for Meryl Streep in this movie;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17901739606101983
57;;enith57;22.12.17 12:15:46;0;@rxcd17 yes :(;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17915218579009882
58;;nataliepastyrikova;22.12.17 12:16:48;0;@kavkova_a;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887595191148625
59;;melinabirsahin;22.12.17 12:26:26;0;@lindaa.reyes I’m literally so excited for this!!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17888819836185184
60;;eleonorasanida;22.12.17 12:34:21;0;@stavroulami ??? ???? ???? ????!!?????????? dream came true;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914069555057099
61;;stellacanocchi;22.12.17 12:37:06;0;@gloria_canocchi siii????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17890504882142780
62;;ecj.ward;22.12.17 12:54:01;0;@ellen.hughes;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17905448335074297
63;;streeper.forever;22.12.17 13:43:59;1;Where is Donna? The original Donna? Is she dead?;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17913999565040669
64;;britgirl54321;22.12.17 13:51:45;0;@mikaylasaragosa;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17897312560091215
65;;mikaylasaragosa;22.12.17 13:52:36;0;@britgirl54321 ahhhhhhh;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887216165182210
66;;ellen.hughes;22.12.17 13:53:42;0;@e.war1 another E night sorted!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17913691939029143
67;;ecj.ward;22.12.17 13:55:44;0;@ellen.hughes E nights just write their own agendas these days - 2018 looking good!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17910102757066688
68;;capymara;22.12.17 14:00:10;0;@baudelairs i didnt even know there's going to be a mamma mia 2 wth im !!!!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887287661158447
69;;audreyann517;22.12.17 14:09:44;0;@mail4amyb;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17889098812177404
70;;adriannepj;22.12.17 14:24:03;0;@marytitits @mariaolaskoaga @albadelatorre me mueroo que ganas!!!!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914862884016534
71;;jacob_bean;22.12.17 14:24:42;1;If you killed Streep all the gays will riot.;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17900914954108297
72;;tonipabey;22.12.17 14:34:08;0;@isabellempg !!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17900997925106102
73;;izzy_sharp;22.12.17 14:39:31;0;@ruby.hgs we are going to watch this together x x;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17856394858207195
74;;ruby.hgs;22.12.17 14:42:39;1;@izzy_sharp yesss definitely ?? xx;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17910445741071051
75;;justcallmemaz;22.12.17 14:45:21;0;@bstickland !!! ??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17900009965122281
76;;papayaslice;22.12.17 14:49:12;0;??????????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914788973058422
77;;xnikkischellekens;22.12.17 14:49:19;0;@mathildehoedemaker omggg;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17873002711199927
78;;ls_francesca;22.12.17 14:52:05;0;@alessia_buzzelli voglio piange;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914552807024961
79;;esmeecornelissen;22.12.17 15:06:17;2;@kirstiehesen  @markellamichail  @jillbeuken  komt deel 2;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17901127333113557
80;;catdal.y;22.12.17 15:11:35;0;@alix_1994 yaaaaas;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914828858050656
81;;jerculez;22.12.17 15:15:11;0;@evie_dassios;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17889603721191470
82;;leabelcourt;22.12.17 15:19:48;1;@shainabe !!!! Can’t wait!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17899654708123724
83;;leabelcourt;22.12.17 15:20:09;0;@davidakido yes!!!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17890151584138495
84;;holy.holtschlag;22.12.17 15:36:11;0;@kkatiepaul;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17856175306206337
85;;shainabe;22.12.17 15:38:29;0;@leabelcourt ??????????????????????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17884228399170250
86;;ainaavaallespir;22.12.17 15:49:28;0;@slapeslapolla ha vueltoii;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914786030008816
87;;mia.hatem;22.12.17 15:52:53;0;@alicenasr jpe plus;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17913952795025207
88;;cynthiaph_98;22.12.17 16:05:39;0;@nayraha;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17884345957171036
89;;sinemzengin;22.12.17 16:28:04;0;@bsibelzengin;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17897012527088796
90;;sinemzengin;22.12.17 16:28:16;0;@dnzaktas;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17890924510138037
91;;sinemzengin;22.12.17 16:28:17;0;@dnzaktas;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914911793014594
92;;rod_flash;22.12.17 16:34:26;0;@diegosena ?? isso sim foi um hino. Saudades!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914369555029196
93;;gijsheijink;22.12.17 16:54:16;1;@harmenvanliemt chill dit;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17886424123167740
94;;alyssa.dent;22.12.17 17:00:32;0;@xo_izzy_bay_ox;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17890019275185208
95;;aubreygrodin;22.12.17 17:01:30;0;@hey_nice_marmot I know you're dying to see this!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17985659551058374
96;;alessia_buzzelli;22.12.17 17:04:12;0;@ls_francesca ????????????????????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914511815057088
97;;staceb005;22.12.17 17:04:57;0;@twinkermum @amandaps79 @kittlepots;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914245883026131
98;;nicolee_stewartt;22.12.17 17:06:17;1;@madelainefulford you see this??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914190854047037
99;;havelaarie;22.12.17 17:14:08;0;@elisaschuurmans Oh yeah!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17874113326199559
100;;madelainefulford;22.12.17 17:47:10;0;@nstewartxo omg ....I’m blocking this day off in my calendar;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914122970062252
101;;amandaps79;22.12.17 17:48:03;1;Great we need to see that x @staceb005 @kittlepots @twinkermum;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17888033527148430
102;;mathildehoedemaker;22.12.17 18:03:26;0;@xnikkischellekens daar gaan we heen;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17885988409164466
103;;katjaaelisee;22.12.17 18:11:16;0;@hannahbjorkenvall omg!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17874604627199309
104;;katjaaelisee;22.12.17 18:11:18;0;@hannahbjorkenvall omg!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17914476643035650
105;;kkatiepaul;22.12.17 18:24:49;0;@holy.holtschlag is this real?!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17906163907075868
106;;tina_p9;22.12.17 18:31:02;0;??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17888442730153325
107;;florcardozo89;22.12.17 18:38:38;0;@dalilaoficial.ok;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17891048287136388
108;;kirstiehesen;22.12.17 18:40:51;0;@esmeecornelissen Awesome !!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17901489838125215
109;;twinkermum;22.12.17 18:46:09;0;@amandaps79 Absolutely!!!!!!!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17899337926120940
110;;harmenvanliemt;22.12.17 19:10:19;0;@gijsheijink01 tering ja;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17897080708082964
111;;_livgomes;22.12.17 19:12:23;0;@jadenwallisx can't wait;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887159957161759
112;;ena.nele;22.12.17 19:13:07;0;Omg!!!! @karoline.wu;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887861564146130
113;;leahmulveyyy;22.12.17 19:21:16;1;@camleather1;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17889587113133308
114;;elisaschuurmans;22.12.17 19:26:11;1;@havelaarie O leuk! Ik voel weer een date aankomen ??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17886436762164909
115;;jadenwallisx;22.12.17 19:39:42;1;@livvygomes hell no;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17873634697196502
116;;irisgroenewegen;22.12.17 19:48:15;0;@evabodex jeuuhhhh;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17900754172119982
117;;makaela_thomas;22.12.17 19:59:13;0;@michcthom ??????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17899377652126891
118;;eviecamp;22.12.17 20:05:32;0;@aniek.vdv die lijkt me ook echt leuk ????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17901584887115460
119;;kelwal8;22.12.17 20:06:57;0;@brendacoope Mum it’s a must ????????????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17854999726214356
120;;isabelabarbero_;22.12.17 20:11:19;1;If they killed Donna, they killed me ???? @crissuperalta;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17888028019147751
121;;_vivi.nne_;22.12.17 21:09:45;1;@luna__rose unser Film ??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17905813804072725
122;;luna__rose;22.12.17 21:16:22;0;@_vivi.nne_  genial??;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17896863895090932
123;;petrakilappa;22.12.17 21:16:40;0;@marihyvonen @wilmahaataja;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887552546182604
124;;marihyvonen;22.12.17 21:21:30;0;@petrakilappa ooooo;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17873899828199693
125;;amandaps79;22.12.17 21:33:17;2;Great we need to see that x @staceb005 @kittlepots @twinkermum;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17915101510060513
126;;pola.gilbert;22.12.17 21:46:52;0;@maalgt ??????????????????????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17910791614065523
127;;meldamoulis;22.12.17 21:50:07;1;What hapend to Donna??????;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17913967777053077
128;;ab.clau;22.12.17 21:58:14;0;mira me voy de la vida te lo digo?? @_maariac;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17887383136181024
129;;elijakej0hn;22.12.17 22:15:01;0;Can we please go again, now? ?? Too excited for this!;https://www.instagram.com/p/Bc9Sd2nHRRQ/?comment_id=17855119999208419
