Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
1;;id_labs;06.10.18 01:21:31;0;@annad426;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17943712612195555
2;;teacupsfadaze;06.10.18 01:41:04;0;@scojosax omg we have to see this!!;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17985254974036531
3;;tonyzalez;06.10.18 01:47:00;1;So sad. Liberals are desperate;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17896478503249338
4;;juan_elguezabal;06.10.18 02:03:43;0;@chichi_montiel;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17981612422066515
5;;erlee9802;06.10.18 02:04:26;0;@chesleyknowles !!!!!;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17973580159108963
6;;jperkinz;06.10.18 02:06:18;0;I cannot belive they are still going after Bush?!!!??????;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17879343979276505
7;;dangerbax;06.10.18 02:07:57;0;puke city;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17896308715250534
8;;daddy0022;06.10.18 02:09:23;0;@angiedmb41;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17926492912205916
9;;psychmajor444;06.10.18 02:10:43;1;People please stop. It’s just a movie. Let it be just that;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17895900520248716
10;;sashagrady;06.10.18 02:13:16;0;@alex.starov we MUST see this are you kidding me;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17953152373160620
11;;wwchuyd;06.10.18 02:25:02;0;@christo__fer;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17927964010202310
12;;danabretz;06.10.18 02:25:55;0;@craigastepp;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17989436437025143
13;;eondayvis;06.10.18 02:49:24;1;Fiction;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17855541673294261
14;;chesleyknowles;06.10.18 03:02:42;0;@erlee9802 ????????????;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17985824830051137
15;;studio_370_nyc;06.10.18 03:25:11;0;@gregory6099 @heatherhmoran @tracy.kaler This looks like it’s going to be a good one!;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17987148154038492
16;;nick.puya;06.10.18 03:25:21;0;This will be by far be the best movie of the year! Christian Bale wins Oscar for lead and Sam Rockwell wins Oscar for Best supporting! 100%;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17953501900163174
17;;seagrave11;06.10.18 03:39:57;1;@ericrosencranz !!!!!??;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17986440385035263
18;;hype2teach;06.10.18 03:45:08;0;@annabelle.r.mendoza is it a date????;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17950611691168367
19;;nettespagette;06.10.18 04:06:47;0;@aseurkamp;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17913460594224243
20;;the_uce;06.10.18 04:11:00;2;Wait... this ain’t The X-Men ??;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17985572185007920
21;;shawnshawnee;06.10.18 04:39:56;0;@mw292;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17912350438236717
22;;bezalel_dylan;06.10.18 04:40:25;0;Im Batman;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17956373014177567
