;;Name (click to view profile);Date;Likes;Comment;(view source)
1;;123benny4;28.02.19 12:09:48;0;I almost drank from a finger bowl once too.;view comment
2;;Ashley;28.02.19 12:09:48;1;God can someone tell me why this movie didn't receive a single oscar nomination??? It's frustrating to see that Black Panther got the attention and credit it deserved while Crazy Rich Asians was overlooked :/;view comment
3;;Clijano;28.02.19 12:09:48;0;Not a good movie... Needs more Filipinos.;view comment
4;;D F.;28.02.19 12:09:48;0;Movie was stupid!!!! Half of the Asian actors have British accents ok...stupid and they r suppose Chinese???;view comment
5;;Eat with Keshia vlogs;28.02.19 12:09:48;0;#Shawnmendas;view comment
6;;Edgley;28.02.19 12:09:48;0;Why are people boycotting this movie again?;view comment
7;;Happy Sully;28.02.19 12:09:48;1;I’m a crazy non Asian!;view comment
8;;Henry Dictado;28.02.19 12:09:48;0;I LOVED THIS MOVIEEEEE;view comment
9;;Justin Liu;28.02.19 12:09:48;0;Chinese are taking over the world!!!;view comment
10;;King Kibut;28.02.19 12:09:48;1;Henry=james bond uhhhh;view comment
11;;Shraddha J;28.02.19 12:09:48;0;Brilliant movie. Just watched it?;view comment
12;;The Little Tiny Dino;28.02.19 12:09:48;2;This movie made me cry because it made my siblings and I really reflect and relate the many aspects played out in the movie to our own family;view comment
13;;Val;28.02.19 12:09:48;0;I forgot asian representation existed until this;view comment
;13-1;Liam Patrick;21.11.19 12:09:48;0;I forgot asian representation existed I've never heard that before.;view comment
14;;Vanguard;28.02.19 12:09:48;1;I’m sorry the leading man speaks English richest looks the most western out of all the Asians and yet ... these Asians are proud of all asian cast.....and yet conforming to the idea yellow be mellow but to act (be) whiter be nicer... not so proud are we.... love the movie but this b some Hollywood BS;view comment
15;;Venusian;28.02.19 12:09:48;1;well you guys should know henry golding is not even chinese, Vietnam or whatsoever. He is originated from borneo, sarawak ? his race is Iban mix;view comment
16;;VicRules666;28.02.19 12:09:48;0;I have no interest in this, there's no kung fu.;view comment
17;;Winds of March Journey/Perry tribute band;28.02.19 12:09:48;1;I'm bothered that the very rich mother doesn't know how a designer jacket should fit. That white striped jacket looks BAD on her. The collar doesn't even touch her neck, when its supposed to fit snugly.  You don't get these problems with Armani. And they're happy to fit you, too.  Fire the costume designer.;view comment
18;;Wookien;28.02.19 12:09:48;1;No white middleaged men in the trailer. Impossible for me to relate. Won't watch;view comment
19;;fcuking Sg Invain;28.02.19 12:09:48;0;CRAZY POOR SINGAPOORS... MOSTLY INDONESIAN CHINESE TYCOONS WHO PLAY IMPORTANT ROLE IN SINGAPOOR, LIKE OEO TIONG HAM, OEI HONG LEONG, SPRINGLEAF PROPERTY, ASIA PULP, ETC.;view comment
20;;fcuking Sg Invain;28.02.19 12:09:48;0;HE'S NOT PURE ASIAN, HIS MOTHRR FROM MALAYSIA... MAYBE THEIR FAMILY SOMEHOW ENJOY MONEY LAUNDERING OR TAX HAVEN FROM SINGAPOORS...  I NEVER ENCOUNTER A SINGAPOOR HAS THIS SHOW OFF, LAVISH LIFESTYLE.... EVEN ORCHARD ROAD, PEOPLE JUST WEAR FLIP FLOP, T SHIRTS, AND SHORTS.... HOLLYWOOD AGAIN EXAGGERATES STORY... THEY KNOWS NOTHING ABOUT SINGAPOORS.. SO POOR, EVEN A BRIT MAN BY NAME OF ANTON CASEY JUST PUT A JOKE REMARKS ABOUT HOW POOR SINGAPOORS, THERE GOES HIS LIFE... EVEN DEATH THREATS. SO SENSITIVE ISSUE HAHHAHHAHAHHAHAAHAHAHA... SINGAPOOR IS NOT GREAT AS MANY THOUGHT.;view comment
21;;shamimah;28.02.19 12:09:48;0;i'm singaporean! anyone jealous lmao;view comment
22;;thesharinie;28.02.19 12:09:48;0;I came here because the Bond;view comment
23;;? ?;28.02.19 12:09:48;0;Bangkok and Shanghai much ?;view comment
24;;? ?;28.02.19 12:09:48;0;Kuala Lumpur is a richkid hotspot;view comment
25;;- Simplicity;28.03.19 12:09:48;8;I dont know if I could marry that guy after how petty and rude those ppl were. I wouldnt wanna deal with toxicity and passive aggression till I died.;view comment
;25-1;????? ????;28.03.19 12:09:48;1;Depends, you're in for a guy or his family and fame...;view comment
;25-2;- Simplicity;28.03.19 12:09:48;0;@????? ????   Definitely for the guy, if I dont get along with his fam we may as well part ways.;view comment
;25-3;????? ????;28.03.19 12:09:48;0;@- Simplicity  because of his family, you will leave him even if he's good to you?;view comment
;25-4;- Simplicity;28.03.19 12:09:48;0;@????? ????  Family has a big impact, it can ruin even the best relationships. Ive seen it;view comment
