;;Name (click to view profile);Date;Likes;Comment;(view source)
1;;A the music person;22.11.18 10:35:24;0;"SOON WE'LL TELEVISE OUR C-O-L-O-R,  NOW LEAVE ME BLINDED AND ERASE MY MEMORIES"- Kennith;view comment
2;;A. Z.;22.11.18 10:35:24;5;I need incredibles 3 !!!!!! This was the best movie ever? enjoyed it soooo much ???;view comment
;2-1;Rijae Pearson;22.09.19 10:35:24;0;A. Z.   N.  N;view comment
3;;Abdul Majied;22.11.18 10:35:24;1;Violet is so annoying with his bf issue. I want more dash moment. Dash look like a boy that my mom babysit, accept dash had a blonde hair.;view comment
4;;Ada Apa;22.11.18 10:35:24;0;Suka banget sama film disney semua orang indonesia juga pasti suka terutama mickey mouse tapi kenapa disneyland ga ada di indonesiaya;view comment
5;;Ag Jr;22.11.18 10:35:24;0;What some people know: This movie was originally supposed to come out next year. What more people don't know: The reason it was moved to this year was because they switched its release date with that of Toy Story 4.;view comment
6;;Aisla Studios;22.11.18 10:35:24;0;I've seen that a lot of people have been like (not aiming towards everyone) '' Jesus this took AGES,''  they probably started making this WHEN THE FIRST MOVIE WAS MADE these things take TIME! If they released it after the first film it would have been absolute TRASH.;view comment
7;;Aleena Malik;22.11.18 10:35:24;4;I watched it last month! It was AWESOME;view comment
8;;Alexa Ivanca;22.11.18 10:35:24;0;I Like it;view comment
9;;Alexa Linares;22.11.18 10:35:24;1;I don't know if it's me but... Has anyone notice Edna looks exactly like Hetty Lange ???they are literally almost like twins in my opinion?;view comment
10;;Amber and Derek O;22.11.18 10:35:24;1;Worth the wait:);view comment
11;;Ambitious Muscle;22.11.18 10:35:24;0;Crazy how far animation has come in the last 10 odd years it looks so much better with the lighting, effects, models and animation.;view comment
12;;Amir Hossen;22.11.18 10:35:24;0;??????;view comment
13;;Angel Claudio;22.11.18 10:35:24;0;BRUH THEY NEVER CAUGHT THE UNDERMINER(1st villain) HE GOT AWAY WITH ALL THAT MONEY;view comment
14;;Anon ymous;22.11.18 10:35:24;0;Went and saw the movie today. Unfortunately my hunch was right about it not being as good as the first but i never properly judge a film on the first watch espeiclaly when seen at the cinema. It takes me a few more times to watch it prefrably in the comfort of my own home to fully appreciate/understand the film.  The first film was groundbreaking in both visuals and stroy. One of Pixars finest for sure. Came out of knowhere. Not dissapointing but the fact i fell asleep severla times says it all really. Anyone ever get the cinema to yourself btw? Why is it so hard for me to find an empty screen room? Am i not going often enough? I thought yesterday was the day as i was all alone up until one black guy came and sat in. TBh wasn;t as big of a deal having it to myself more of  anovelty would have been nice htough. Not having to worry about making noise, sitting wher ei want and have more freedom. Choosing which seat i wnated to sit in for th ebest view was great also.;view comment
;14-1;viscabvrca;22.11.18 10:35:24;0;Anon ymous i fell asleep aswell;view comment
15;;Antonio Borja;22.11.18 10:35:24;0;You take;view comment
16;;Arda Aytekin;22.11.18 10:35:24;0;That was “i n c r e d i b l e”;view comment
17;;Aris Romadhon;22.11.18 10:35:24;1;Aw jack-jack is so cute ??????;view comment
18;;Armando Sanchez;22.11.18 10:35:24;0;Public fire drill;view comment
19;;Armando Sanchez;22.11.18 10:35:24;0;Publix;view comment
20;;B J;22.11.18 10:35:24;1;?? =???;view comment
21;;BUP;22.11.18 10:35:24;0;I could not stop replaying this when it came out.;view comment
22;;Baron TMM;22.11.18 10:35:24;1;See you guys in 2032.;view comment
23;;Ben Munn;22.11.18 10:35:24;1;2004: "Where is my super suit" 2018: Frozone: I'll be there ASAP (Grabs his super suit) Frozone's wife: Where you going ASAP you better be back ASAP;view comment
24;;BlackLister;22.11.18 10:35:24;0;200 mil to make this kid's movie.. how????!!!!!;view comment
25;;Bleron Mehmeti;22.11.18 10:35:24;0;that movie is really funny;view comment
26;;Bts Bigbang got 7;22.11.18 10:35:24;1;I remember watching this when I was in second grade;view comment
27;;Bullseye Og;22.11.18 10:35:24;2;It’s prolly gonna take another 14 years to make the 3 one;view comment
;27-1;MeikaPuu;22.11.18 10:35:24;0;Clarence Hudson fr;view comment
28;;C King;22.11.18 10:35:24;0;More of them and cars!;view comment
29;;CARTOONS PLANET;22.11.18 10:35:24;0;I love Disney Pixar and walt;view comment
30;;Captain Jakemerica;22.11.18 10:35:24;1;1:08  me when I do my math homework;view comment
31;;Cartier Naruto;22.11.18 10:35:24;0;When do we get to see frozone Wife??;view comment
32;;Chancelle Florence Nzang Ngomo;22.11.18 10:35:24;1;Just watched it, so much action  ! I loved it, i laughed a lot and the fight scenes are just amazing.;view comment
33;;Chrysaura;22.11.18 10:35:24;0;Frozone's wife is still my fave character XD;view comment
34;;Cira Björklund;22.11.18 10:35:24;0;OMG;view comment
35;;Cole Norton;22.11.18 10:35:24;0;Who else likes bobs scream;view comment
36;;Cool guy;22.11.18 10:35:24;1;W H E R E I S M Y S U P E R S U I T?;view comment
37;;Danthepaperman6/ClassicalCabc;22.11.18 10:35:24;0;It says releases in June 15th only to re release in labor day in some movie theater locations.;view comment
38;;Dennis C;22.11.18 10:35:24;1;The trailer doesn’t do the movie any justice, by design on purpose.  The plot was amazing, and the humor in between was brilliant.  Good job team Pixar!;view comment
39;;Dinesh Manchukonda;22.11.18 10:35:24;0;I want jack jack stand alone film;view comment
40;;Diogo;22.11.18 10:35:24;0;I still can't believe I haven't watched this yet!! Ahhhh;view comment
41;;Dominika Drago;22.11.18 10:35:24;0;4:00  -  4:14  ?;view comment
42;;Dr. Shamsun Nahar Shumi;22.11.18 10:35:24;0;Please make toy story 4 please it is very will be very interesting peal make it toy story is very very interesting. Please don't end it up. I want to see the next age or next generation.pls,pls,pls,pls,pls,pls,pls,pls,Please Please Please Please Please Please Please Please Please Please Please Please Please Please Please.I would very very very happy;view comment
;42-1;geboinzki .Iman28;22.11.18 10:35:24;0;Don't Worry Toy Story 4 will be next year;view comment
43;;Edward Cullen;22.11.18 10:35:24;0;Is there going to have incredibles 3??? Pls tell me;view comment
