Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
1;;Ashley De La Cruz;23.11.19 12:20:34;3;"For my whole life, I didn't know if I even really existed, but I do. and people are starting to NOTICE.   
 
 don't know why but this line really got to me. Mental Health is such a huge issue nowadays.";https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=UgyVA5mZxL0UHjFaxc94AaABAg
2;;Bilberry Story Sketches;23.11.19 12:20:34;0;https://www.teepublic.com/t-shirt/6847531-the-joker-joaquin-phoenix?store_id=225760;https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=UgyK8ibA4eQ4wuw7oqt4AaABAg
3;;Billy Shity;23.11.19 12:20:34;0;0:50  to  1:06  yo to be insulted like that especially by Danny DeVito a million times worser the joker's origin hahaha ??????????????;https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=UgwyJhlIQWaKr_fKdOh4AaABAg
;3-1;irij;23.11.19 12:20:34;0;Billy Shity What.;https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=UgwyJhlIQWaKr_fKdOh4AaABAg
;3-2;Billy Shity;23.11.19 12:20:34;0;When he's watching the TV when Robert de Niro insults you time of video from  0:50  to  1:06  just watch it;https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=UgwyJhlIQWaKr_fKdOh4AaABAg
;3-3;irij;23.11.19 12:20:34;0;Billy Shity Yes i understand, what does Danny Devito have to do with it?;https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=UgwyJhlIQWaKr_fKdOh4AaABAg
;3-4;Billy Shity;23.11.19 12:20:34;0;@irij  I meant to say Robert de Niro obviously;https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=UgwyJhlIQWaKr_fKdOh4AaABAg
;3-5;irij;23.11.19 12:20:34;0;Billy Shity Yes obviously.;https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=UgwyJhlIQWaKr_fKdOh4AaABAg
4;;Daniel Bautista;23.11.19 12:20:34;0;"If more superheroes are like this  
 
 Doctor Strange - The Matrix  
 Raven - Carrie  
 Black Panther - Braveheart  
 Daredevil - Oldboy  
 Guardians of the Galaxy - Pulp Fiction/ Snatch";https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=UgwOkxoQR2NA9aTpOu94AaABAg
5;;Don’t watch my videos you will regret it;23.11.19 12:20:34;3;Still haven’t watched it because I’m 14 and the age restriction is 16 here where I live. Does anyone know of a website that you can watch it on without getting a bunch of virus pop ups?;https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=Ugwd-bIW8sP-yndnqmR4AaABAg
;5-1;irij;23.11.19 12:20:34;0;Don’t watch my videos you will regret it Yesmovies works and you can just cancel the popups, its not hard;https://www.youtube.com/watch?v=zAGVQLHvwOY&lc=Ugwd-bIW8sP-yndnqmR4AaABAg
