;;Name (click to view profile);Date;Likes;Comment;(view source)
1;;1978TVP;28.11.61 15:43:40;0;Over and over again, the same luscious notes. Let someone stop this wilderness. Unleavenedy, kitschy and churchy. I'll just vomit.;view comment
2;;A7XTributes;28.11.61 15:43:40;2;IT'S AMAZING;view comment
3;;AGGROBERLIN615;28.11.61 15:43:40;0;They stitch these ABBA songs together like somebody with Parkinson's trying to make a quilt.;view comment
4;;APokemonGoGuy HD;28.11.61 15:43:40;0;Here we go again;view comment
5;;Abhi Sampathi;28.11.61 15:43:40;0;Why is a movie like this coming to IMAX theaters;view comment
6;;Abigail Harrington;28.11.61 15:43:40;0;I am in love with mamma mia 2 and 1;view comment
7;;Adorable Asmr;28.11.61 15:43:40;0;How ironic it comes out at 2018 and the first one came out on 2008 which is 10 years ago;view comment
8;;Agnitaful;28.11.61 15:43:40;0;Ga naar de film! En kijk de trailer niet voordat je gaat. Dan is het zóveel leuker!;view comment
9;;AiraSora;28.11.61 15:43:40;0;Gotta love how in the first movie, it ended with the daughter being all: "Let's just NOT get married. Let's go out and see the world!" Yadda-yadda-yadda. Next movie? Fucking pregnant xD;view comment
10;;Al T;28.11.61 15:43:40;0;Brought to you by Weinsteins casting couch.  Meryl Streep and Cheer's adventures over the years.;view comment
11;;Alana Stanton;28.11.61 15:43:40;0;I love u mammia Mia;view comment
12;;Alannah Mc Elvaney;28.11.61 15:43:40;1;I told bill,and I told harry,and I told..many many people.....;view comment
13;;Alex Eng;28.11.61 15:43:40;1;boring;view comment
14;;AlexMc13x;28.11.61 15:43:40;1;How was this in 1979 when she was 20 in the first one??;view comment
;14-1;Kevin G;28.11.61 15:43:40;0;its a weird timeline but Donna became pregnant in 1979 and gave birth in 1980 Sophie was 20 in 2000 so 2005 is when she would be 25. the trailer there is a mistake it says it takes place in 2015 but really it was 2005.;view comment
15;;Alexander M;28.11.61 15:43:40;0;No no no no no no no no no. Young Bill is supposed to have longer hair, Young Sam is supposed to have long hair and a handlebar Mustache, and Young Harry is supposed to be Emo. Donnas mom is supposed to be dead AND Catholic. Did they even watch the movie???;view comment
16;;Alice Kingslee;28.11.61 15:43:40;0;Wasn’t in love the first film but this film delivers all. Was memorised by Lily James, her character was very fun and vibrant, defiantly delivered her parting role. Brilliant film 9/10;view comment
17;;Alina Reybey;28.11.61 15:43:40;1;Damn, just saw this, it’s amazing, beautiful, heartbreaking in all the right ways. ??;view comment
18;;Alyce Capek;28.11.61 15:43:40;0;I actually really loved this sequel/prequel. It did the series justice and was such a delight to watch!;view comment
19;;Amanda Eklund;28.11.61 15:43:40;0;What happened to Sophie's best friends? Ali and Lisa.. why aren't they in this movie? :-)??;view comment
20;;Amanda Lucha;28.11.61 15:43:40;0;i saw the 2 one and the 1 one but i really want to want to see mama mia 2 again;view comment
21;;Amy Rio;28.11.61 15:43:40;0;Bullshit film.. 1 unlike;view comment
22;;Andreaa;28.11.61 15:43:40;0;Im getting tired of this stupid ass trailer playing everytime i try to watch a fucking video on yt;view comment
23;;André Loureiro;28.11.61 15:43:40;0;I LOVED the first. And now a second film. OMG!! Best day of my life!!;view comment
24;;Andy Marcos;28.11.61 15:43:40;1;Is Donna dead?;view comment
;24-1;bethanyyh .x;28.11.61 15:43:40;0;Andy Marcos yeah;view comment
25;;Anna Mauro;28.11.61 15:43:40;0;I don't want to watch it cause then it will have to end and I will feel empty and think about it for weeks;view comment
26;;Anonymous 18283;28.11.61 15:43:40;2;There is a mistake with young Donna and Donna, young Donna has BROWN eyes but Donna has BLUEY eyes. By the way this is my own fought and it kinda was one of those mistakes that doesn’t matter but oh well x??;view comment
;26-1;Alix Raphaelson;28.11.61 15:43:40;1;Maybe Amanda Seyfried and Lily James roles could’ve been swapped;view comment
;26-2;Harley Quinn;28.11.61 15:43:40;0;Alix Raphaelson Makes so much sence;view comment
;26-3;Rebecca boone;28.12.18 12:12:41;0;her eyes aren't bluey there brown like always. meryl streep fan for life.;view comment
27;;Anxious Bicorn;28.11.61 15:43:40;0;I don't give a fuck how many American dollars one offers me, I am NOT acknowledging ( spoiler ahead ) Donna's death. I am NOT. And I don't care what people tell me, IT'S NOT CANON !!!! Donna's alive and that's all.;view comment
;27-1;Linda Jung;28.11.61 15:43:40;0;Clem Marchal I'm so sorry but in the second movie she is definitely dead...;view comment
;27-2;Anxious Bicorn;28.11.61 15:43:40;0;Linda Jung I know but to me it's not canon.;view comment
28;;Aoife O Connell;28.11.61 15:43:40;0;Best  movie ever ????????????????;view comment
29;;Ariana Grande;28.11.61 15:43:40;2;Is that Cinderella 0.0;view comment
;29-1;proserfina21096;28.11.61 15:43:40;0;yes;view comment
30;;Arletta Pen;28.11.61 15:43:40;0;Not bad movie but using boxxy software made it fucking cool!!! Free service, awersome subtitles and what more – boxxy has big collection of movies and series for different tastes!;view comment
31;;Arsen Bjeloglav;28.11.61 15:43:40;0;Prevara;view comment
32;;Ashshep019;28.11.61 15:43:40;0;Movie takes place in 2015 when Sophie is 25. It shows Donna first went to the island in 1979. (The movie clearly shows in the same summer, she got pregnant) yet in order for Sophie to be 25 in 2015, she would have to be born in 1990 and Donna would have to get pregnant 11 years after she was with Bill Harry and Sam. I’m upset that they could figure out the actual time line of this movie.;view comment
;32-1;Kevin G;28.11.61 15:43:40;0;I hope this answers your question and the timeline. The trailer sets Donna (Meryl Streep)'s pregnancy in 1979, and the birth of Sophie as 1980, which sets Mamma Mia! (2008) around 2000, as Sophie is 20. The movie is set 5 years after the first film, which would make this 2005.;view comment
;32-2;Ashshep019;28.11.61 15:43:40;0;Kevin G the trailer shows that it takes place in 2015 though. Either way I enjoyed the movie, they just didn’t put that much thought into the time line.;view comment
33;;Atilla The Dog Whisperer;28.11.61 15:43:40;1;SPOILER ALERT: I watched this movie recently and as much as I enjoyed it I found many flaws with this movie that I feel must be said: 1.Where are the daughter’s friends?  2.Why does the flashback fathers look nothing like the pictures and hallucinations we get of what the fathers looked like back then in the original? 3.Wasn’t the grandmother a nun? Although yes this answer could be answered pretty simply but still  4. In a flashback we see Donna complaining about how she got her feelings hurt by a boy and then one of her friends makes a joke saying which one, in the original movie the friends had no idea they were other boys except for Sam until Donna told her so?;view comment
34;;Ava Perfect;28.11.61 15:43:40;0;Karen!;view comment
35;;Ayden Dandin;28.11.61 15:43:40;0;And they will send you to the sea stuck for ever for the punishment;view comment
36;;Ayden Dandin;28.11.61 15:43:40;0;Do not watch that movie they are mermaids;view comment
37;;Ayden Dandin;28.11.61 15:43:40;0;Mama Mia is trash than you mom;view comment
38;;Ayden Dandin;28.11.61 15:43:40;0;They predent to be a human I am getting revenge on this move;view comment
39;;Azur Videography - Petric;28.11.61 15:43:40;0;All movie locations filmed in CROATIA on island VIS.Welcome to Croatia! https://www.thesun.co.uk/travel/5196180/mamma-mia-2-filming-locations-vis-croatia/;view comment
40;;BOY BORGES 15;28.11.61 15:43:40;0;Mama Mia here we go again;view comment
