Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
1;;123benny4;28.02.19 12:09:48;0;I almost drank from a finger bowl once too.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugwf-q_peRYo3-dcXzl4AaABAg
2;;Ashley;28.02.19 12:09:48;1;God can someone tell me why this movie didn't receive a single oscar nomination??? It's frustrating to see that Black Panther got the attention and credit it deserved while Crazy Rich Asians was overlooked :/;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugwu38WApO5jSvyTgyR4AaABAg
3;;Clijano;28.02.19 12:09:48;0;Not a good movie... Needs more Filipinos.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugzh-6fF8CKKE7tBNpp4AaABAg
4;;D F.;28.02.19 12:09:48;0;Movie was stupid!!!! Half of the Asian actors have British accents ok...stupid and they r suppose Chinese???;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugz5IS1yD4lpBiM7AmB4AaABAg
5;;Eat with Keshia vlogs;28.02.19 12:09:48;0;#Shawnmendas;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugz9_NQ8voMlx2nfOIx4AaABAg
6;;Edgley;28.02.19 12:09:48;0;Why are people boycotting this movie again?;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwE9iBx9vTBM6VGiI94AaABAg
7;;Happy Sully;28.02.19 12:09:48;1;I’m a crazy non Asian!;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzgNW0BKxTv7Vn9gNZ4AaABAg
8;;Henry Dictado;28.02.19 12:09:48;0;I LOVED THIS MOVIEEEEE;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugx6FA4GHw8549tMx-t4AaABAg
9;;Justin Liu;28.02.19 12:09:48;0;Chinese are taking over the world!!!;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgysIs0e2XmjK-cDy5N4AaABAg
10;;King Kibut;28.02.19 12:09:48;1;Henry=james bond uhhhh;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxfWkmlPOb_bQ_JvY14AaABAg
11;;Shraddha J;28.02.19 12:09:48;0;Brilliant movie. Just watched it??;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyH_RlxISmrnph0dbp4AaABAg
12;;The Little Tiny Dino;28.02.19 12:09:48;2;This movie made me cry because it made my siblings and I really reflect and relate the many aspects played out in the movie to our own family;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxFj1rYWDpNTohQvOF4AaABAg
13;;Val;28.02.19 12:09:48;0;I forgot asian representation existed until this;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxGiF5GiD8DcmN2bcZ4AaABAg
;13-1;Liam Patrick;21.11.19 12:09:48;0;"""I forgot asian representation existed"" I've never heard that before.";https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxGiF5GiD8DcmN2bcZ4AaABAg
14;;Vanguard;28.02.19 12:09:48;1;I’m sorry the leading man speaks English richest looks the most western out of all the Asians and yet ... these Asians are proud of all asian cast.....and yet conforming to the idea yellow be mellow but to act (be) whiter be nicer... not so proud are we.... love the movie but this b some Hollywood BS;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxjhYMZdRXzRHjDTQZ4AaABAg
15;;Venusian;28.02.19 12:09:48;1;well you guys should know henry golding is not even chinese, Vietnam or whatsoever. He is originated from borneo, sarawak ?? his race is Iban mix;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgytO1iNIrr0TDXLlF14AaABAg
16;;VicRules666;28.02.19 12:09:48;0;I have no interest in this, there's no kung fu.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyGnWlZm8w6R5Htupd4AaABAg
17;;Winds of March Journey/Perry tribute band;28.02.19 12:09:48;1;"I'm bothered that the very rich mother doesn't know how a designer jacket should fit. That white striped jacket looks BAD on her. The collar doesn't even touch her neck, when its supposed to fit snugly.  You don't get these problems with Armani. And they're happy to fit you, too.  Fire the costume designer.";https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzN6EaLAfgCh19-r0B4AaABAg
18;;Wookien;28.02.19 12:09:48;1;No white middleaged men in the trailer. Impossible for me to relate. Won't watch;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxvIxwdqGMTZXNGJCZ4AaABAg
19;;fcuking Sg Invain;28.02.19 12:09:48;0;CRAZY POOR SINGAPOORS... MOSTLY INDONESIAN CHINESE TYCOONS WHO PLAY IMPORTANT ROLE IN SINGAPOOR, LIKE OEO TIONG HAM, OEI HONG LEONG, SPRINGLEAF PROPERTY, ASIA PULP, ETC.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyKh8ALPUwKMv97vLZ4AaABAg
