Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
1;;A the music person;22.11.18 10:35:24;0;"""SOON WE'LL TELEVISE OUR C-O-L-O-R,  NOW LEAVE ME BLINDED AND ERASE MY MEMORIES""- Kennith";https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=Ugxuvhqku_beqgGb_x54AaABAg
2;;A. Z.;22.11.18 10:35:24;5;I need incredibles 3 !!!!!! This was the best movie ever?? enjoyed it soooo much ??????;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgztTezVeaHUWQFRm7t4AaABAg
;2-1;Rijae Pearson;22.09.19 10:35:24;0;A. Z.   N.  N;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgztTezVeaHUWQFRm7t4AaABAg
3;;Abdul Majied;22.11.18 10:35:24;1;Violet is so annoying with his bf issue. I want more dash moment. Dash look like a boy that my mom babysit, accept dash had a blonde hair.;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgwDWpPQFgV4kCUhDlB4AaABAg
4;;Ada Apa;22.11.18 10:35:24;0;Suka banget sama film disney semua orang indonesia juga pasti suka terutama mickey mouse tapi kenapa disneyland ga ada di indonesiaya;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgwBMN9iqVoPVFKEOSp4AaABAg
5;;Ag Jr;22.11.18 10:35:24;0;"What some people know: This movie was originally supposed to come out next year. What more people don't know: The reason it was moved to this year was because they switched its release date with that of Toy Story 4.";https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=Ugyza0jV63inlOYi3mN4AaABAg
6;;Aisla Studios;22.11.18 10:35:24;0;I've seen that a lot of people have been like (not aiming towards everyone) '' Jesus this took AGES,''  they probably started making this WHEN THE FIRST MOVIE WAS MADE these things take TIME! If they released it after the first film it would have been absolute TRASH.;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=Ugxr2Qb5iUSPqvj12m14AaABAg
7;;Aleena Malik;22.11.18 10:35:24;4;I watched it last month! It was AWESOME;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgzjAGw-CbfM4m9ZEWZ4AaABAg
8;;Alexa Ivanca;22.11.18 10:35:24;0;I Like it;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgzCXhqii9jM5QGOgbJ4AaABAg
9;;Alexa Linares;22.11.18 10:35:24;1;I don't know if it's me but... Has anyone notice Edna looks exactly like Hetty Lange ??????they are literally almost like twins in my opinion??;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgzZ4Ar2NlPe7Tv3SrV4AaABAg
10;;Amber and Derek O;22.11.18 10:35:24;1;Worth the wait:);https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgxazLjev8KGgghWz4l4AaABAg
11;;Ambitious Muscle;22.11.18 10:35:24;0;Crazy how far animation has come in the last 10 odd years it looks so much better with the lighting, effects, models and animation.;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=Ugx8ESELagPPycGrn4N4AaABAg
12;;Amir Hossen;22.11.18 10:35:24;0;????????????;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgxIielVgwlQSuwchEF4AaABAg
13;;Angel Claudio;22.11.18 10:35:24;0;BRUH THEY NEVER CAUGHT THE UNDERMINER(1st villain) HE GOT AWAY WITH ALL THAT MONEY;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgwzCYIPGWZ9LThOgCx4AaABAg
14;;Anon ymous;22.11.18 10:35:24;0;"Went and saw the movie today. Unfortunately my hunch was right about it not being as good as the first but i never properly judge a film on the first watch espeiclaly when seen at the cinema. It takes me a few more times to watch it prefrably in the comfort of my own home to fully appreciate/understand the film.  The first film was groundbreaking in both visuals and stroy. One of Pixars finest for sure. Came out of knowhere. Not dissapointing but the fact i fell asleep severla times says it all really. Anyone ever get the cinema to yourself btw? Why is it so hard for me to find an empty screen room? Am i not going often enough? I thought yesterday was the day as i was all alone up until one black guy came and sat in. TBh wasn;t as big of a deal having it to myself more of  anovelty would have been nice htough. Not having to worry about making noise, sitting wher ei want and have more freedom. Choosing which seat i wnated to sit in for th ebest view was great also.";https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=Ugy728j92eY_ZN870U94AaABAg
;14-1;viscabvrca;22.11.18 10:35:24;0;Anon ymous i fell asleep aswell;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=Ugy728j92eY_ZN870U94AaABAg
15;;Antonio Borja;22.11.18 10:35:24;0;You take;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgwUxaz876aHPBau0Xx4AaABAg
16;;Arda Aytekin;22.11.18 10:35:24;0;That was “i n c r e d i b l e”;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=Ugxxjiw8DxbC6f23-U94AaABAg
17;;Aris Romadhon;22.11.18 10:35:24;1;Aw jack-jack is so cute ????????????;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgwQ5lLwWuNqWmBKW9V4AaABAg
18;;Armando Sanchez;22.11.18 10:35:24;0;Public fire drill;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgwIzhkteb9CqtXsCud4AaABAg
19;;Armando Sanchez;22.11.18 10:35:24;0;Publix;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgzKIY1xLV-mv2bh9RB4AaABAg
20;;B J;22.11.18 10:35:24;1;???? =??????;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=Ugz5s3YR084qQRr6sal4AaABAg
21;;BUP;22.11.18 10:35:24;0;I could not stop replaying this when it came out.;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgxIZXIZRSlJLRnJkEJ4AaABAg
22;;Baron TMM;22.11.18 10:35:24;1;See you guys in 2032.;https://www.youtube.com/watch?v=i5qOzqD9Rms&lc=UgyI5gzAfAJ6n_XbjA54AaABAg
