Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
1;;angel.ica17;10.08.18 02:08:44;1;@callmemannyyy alright, that's fair - DEAL!;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17895413977230603
2;;daanielaochoa;10.08.18 02:27:30;0;@rosaliapinavelez @nicolefriasm hay que veeeeerla;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17939251075178410
3;;rosaliapinavelez;10.08.18 02:51:53;0;owwww @daanielaochoa;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17933479543171266
4;;nicolefriasm;10.08.18 03:19:40;0;@daanielaochoa siii;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17967394882024935
5;;usuariodaniel;10.08.18 04:02:42;2;@julianasdiias;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17967997453010577
6;;cecile_moulian;10.08.18 06:31:29;0;@damimanic tiene buena pinta;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17951962795120493
7;;marianaherrera11;10.08.18 07:57:17;0;@irenechinch  need this movie now;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17967687652041637
8;;carmen_nel_;10.08.18 08:57:02;1;@viljoen_pj @clarisekemp1;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17968942162050471
9;;alex_marco_dossantos;10.08.18 08:57:41;0;@jasgeyer Er mer gersh it looks so good!!!!!;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17968531198061396
10;;lizie_sg;10.08.18 09:27:46;0;@kisstha jom;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17967720562045820
11;;kisstha;10.08.18 09:50:05;0;@lizie_sg bila ni;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17953274161113685
12;;wendyrosillo;10.08.18 11:42:11;0;@vhmarinr;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17954985208106899
13;;jordanxavie;10.08.18 13:29:36;1;@kendallbelansky this kind of looks amazing;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17933606593168679
14;;kendallbelansky;10.08.18 15:10:25;0;@jordanxavie I’m so down;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17968274026054954
15;;sarabeatricepersson;10.08.18 16:43:24;1;Vi kanske ska byta ut mrGrey mot Bradley Cooper!??? @smulanarrhenius  @mari_oberg  @malinjv73;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17933795695173163
16;;malinjv73;10.08.18 17:09:38;1;@sarabeatricepersson absolut!! ??;https://www.instagram.com/p/BjsG5m1nTZZ/?comment_id=17971111009021181
