Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
1;;weslleyfrar;29.03.18 16:01:21;0;AMEI DEMAIS;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17906563024192504
2;;yumisatio;29.03.18 16:01:44;0;N I C E;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17934563065062827
3;;mallorymorrow_;29.03.18 16:02:45;1;@megan_morrow14;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17904240391162920
4;;luanreginato;29.03.18 16:03:18;1;@eloineerthal;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17934144190004274
5;;isaac12wilson;29.03.18 16:03:33;0;@cacyweaver;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17844086377252819
6;;jessiebuch;29.03.18 16:04:23;1;@caseybuchanan @mddleannabanana “is she having adolescents” ????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17920092289117317
7;;lysergic44;29.03.18 16:05:37;0;????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17935217110031025
8;;y.karollyne;29.03.18 16:06:10;0;Just Go june ????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17918882224123494
9;;lucy_marie115;29.03.18 16:06:28;0;@isabertino  yasssss;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17920608958114001
10;;from_the_window_to_the_wallace;29.03.18 16:07:01;0;@zhuguley123;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17920083598119636
11;;clifford.zip;29.03.18 16:07:35;0;Just gotta hold on till June 15 th;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17872912168217219
12;;elsagakperawan;29.03.18 16:08:18;0;Yaasss vi;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17935388200015494
13;;elighodooshim;29.03.18 16:08:39;0;So hyped;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17873369401222771
14;;elighodooshim;29.03.18 16:08:40;1;So hyped;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17907855934134549
15;;adrianestevez02;29.03.18 16:08:43;1;This is worth the hype;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17936925493044353
16;;_jenileemcc;29.03.18 16:09:17;0;????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17923949434129589
17;;nat.noir;29.03.18 16:09:19;0;YESSSSSSSSS;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17915546926095394
18;;lamiesf;29.03.18 16:12:28;5;I can’t waittttttt ... I want to have my son watch the first one but I cant find it on Netflix .. I want him to see him before we go watch this one. Any ideas ?;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17906019670182359
19;;kiddsino;29.03.18 16:12:34;0;??;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17909000284143314
20;;evarose_cole;29.03.18 16:14:20;0;YESSSS;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17935558423018391
21;;ssamu.el;29.03.18 16:15:58;1;Violet teenage hero crystal;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17933839747054171
22;;william__nwankwo;29.03.18 16:16:54;0;Yeah can't wait ????????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17875314178204929
23;;kipsth;29.03.18 16:17:58;0;LOVING THE ANIMATION. I CANNOT WAIT TO WATCH IT ??;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17873143681219242
24;;jariousboi;29.03.18 16:18:40;8;“The wait is over” we still have to wait for June 15;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17843301583259540
25;;416_richie;29.03.18 16:18:42;0;Finally ??????????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17920915900104491
26;;achilleobaldwin;29.03.18 16:20:25;1;You comin' with me? @c1trey;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17920761784100107
27;;rwixted99;29.03.18 16:20:39;0;@bcwixted Im tagging you in all of these now;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17934663418021156
28;;sofie.vanhoudt;29.03.18 16:21:07;0;@ambervhoudt;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17921135245101018
